         241           2
     190.0870798141110072        6.6745595124946373      311.2054321253312423
     188.7554971190566278        7.1127673553316573      311.1957250181128529
     187.3659098397559433        7.5175279606051770      311.1862103345222295
     185.9443690835033749        7.9084982204126621      311.1765196554806039
     184.5027872963690925        8.3026093166564827      311.1662536451132155
     183.0300801122828602        8.7042047157528337      311.1552788388239037
     182.2782679238961521        8.9014653237438282      311.1496981263041448
     181.5043479941746796        9.0911770962672964      311.1442129109977373
     180.7027989555065801        9.2653616307576048      311.1390746962703133
     179.8699120636682380        9.4132249510806805      311.1346363313161305
     179.0057872876298859        9.5216893445432529      311.1313358712458808
     178.1157986810843852        9.5771045796254963      311.1296350347727184
     177.2106943788301407        9.5678445469939053      311.1299199365508343
     176.3054290214405455        9.4869795215881112      311.1323961733283454
     175.4166675720226465        9.3340320403982471      311.1370221861564573
     174.5597430616101917        9.1150225802676577      311.1435152664461157
     173.7464769101034392        8.8404569389925243      311.1514374868125401
     172.9845964492576229        8.5226825378401276      311.1603037203800568
     172.2777809272745628        8.1746661800877618      311.1696411313997714
     171.6261681544089868        7.8082867127689211      311.1790503674872639
     171.0277236355528601        7.4334921316712617      311.1882290892899050
     170.4794467365156265        7.0582359324472668      311.1969666216588735
     169.9780015969976432        6.6886572263002897      311.2051294460119379
     169.5200072605137223        6.3293212152620280      311.2126450225858889
     169.1021564464413984        5.9834595294998341      311.2194867630541353
     168.7212586023563574        5.6531952077640000      311.2256610772043928
     168.3742550111763592        5.3397499207399264      311.2311967007548219
     168.0582269765926355        5.0436327025606964      311.2361362344701092
     167.7704045716328096        4.7648087771378043      311.2405296973986424
     167.5081771900698300        4.5028467773153720      311.2444298295151839
     167.2691046381180229        4.2570431520267631      311.2478888484254185
     167.0509268288220994        4.0265235504067238      311.2509563633468019
     166.8515703130399004        3.8103220923370138      311.2536781703191764
     166.6691505049628859        3.6074404703750531      311.2560956869000393
     166.5019778475144960        3.4168951097032996      311.2582457651673167
     166.3485754821365674        3.2377617628337618      311.2601606819721383
     166.2076670260036622        3.0691942945367385      311.2618684891908742
     166.0781512168501877        2.9104275316830051      311.2633935119624766
     165.9590765171844282        2.7607742020548200      311.2647568466517782
     165.8496168726410360        2.6196185406934691      311.2659768232005604
     165.7490494809705126        2.4864083064710520      311.2670694158530864
     165.6567351666084562        2.3606463636831476      311.2680485975802753
     165.5721016716350960        2.2418825413056260      311.2689266400855672
     165.4946299200549618        2.1297061703096207      311.2697143646136055
     165.4238431150671147        2.0237394913207494      311.2704213501039590
