x_s	r_s
-21.00334	23.364278
-15.238214	27.019406
-9.472585	30.673777
-6.590009	32.501341
-1.27	36.068
1.35768	37.255728
5.446081	39.793893
9.534482	42.252843
14.20694	45.049056
17.789	47.884
19.492925	48.719945
25.425061	52.053179
31.961715	54.006013
38.62798	55.472693
45.39551	56.303429
52.137207	55.396729
57.971122	51.932159
67.62676	43.277681
0.0	0.0
-21.00334	32.533538
-15.238214	35.78046
-9.472585	39.02671
-6.590009	40.650171
-1.366	43.785
1.35768	44.836925
5.446081	47.027471
9.534482	47.924564
14.20694	50.403576
17.884	52.947
19.492925	53.715335
25.425061	56.742347
31.961715	58.515776
38.62798	59.847714
45.39551	60.60213
52.137207	59.778728
57.971122	56.632445
67.62676	48.773047
0.0	0.0
-21.00334	39.309784
-15.238214	42.255035
-9.472585	45.199676
-6.590009	46.672301
-1.429	49.488
1.35768	50.439565
5.446081	52.373213
9.534482	52.417804
14.20694	54.645524
17.981	56.958
19.492925	57.672772
25.425061	60.457191
31.961715	62.088491
38.62798	63.313684
45.39551	64.007639
52.137207	63.250226
57.971122	60.356097
67.62676	53.126574
0.0	0.0
-21.00334	42.66642
-15.238214	45.462237
-9.472585	48.257475
-6.590009	49.655383
-1.431	52.313
1.35768	53.214851
5.446081	55.021244
9.534482	54.754602
14.20694	56.851632
17.892	59.044
19.492925	59.730916
25.425061	62.389169
31.961715	63.946553
38.62798	65.11623
45.39551	65.778741
52.137207	65.055648
57.971122	62.292655
67.62676	55.390713
0.0	0.0
-21.00334	48.293687
-15.238214	50.838983
-9.472585	53.383753
-6.590009	54.656401
-1.422	57.049
1.35768	57.867507
5.446081	59.460563
9.534482	58.910653
14.20694	60.775249
17.85	62.754
19.492925	63.391373
25.425061	65.825237
31.961715	67.251159
38.62798	68.322101
45.39551	68.928688
52.137207	68.266633
57.971122	65.736871
67.62676	59.417536
0.0	0.0
-21.00334	52.528395
-15.238214	54.885167
-9.472585	57.241451
-6.590009	58.419836
-1.441	60.613
1.35768	61.368788
5.446081	62.801301
9.534482	62.238854
14.20694	63.917315
17.8	65.725
19.492925	66.322699
25.425061	68.57687
31.961715	69.897516
38.62798	70.88939
45.39551	71.451193
52.137207	70.838017
57.971122	68.495028
67.62676	62.642251
0.0	0.0
-21.00334	54.987948
-15.238214	57.235223
-9.472585	59.482032
-6.590009	60.60567
-1.449	62.683
1.35768	63.402361
5.446081	64.741628
9.534482	64.217179
14.20694	65.784998
17.782	67.491
19.492925	68.065116
25.425061	70.212476
31.961715	71.470544
38.62798	72.415419
45.39551	72.950602
52.137207	72.366481
57.971122	70.134511
67.62676	64.559062
0.0	0.0
-21.00334	59.359298
-15.238214	61.411965
-9.472585	63.464207
-6.590009	64.49054
-1.42	66.362
1.35768	67.016618
5.446081	68.190161
9.534482	67.686529
14.20694	69.060319
17.783	70.588
19.492925	71.120759
25.425061	73.080805
31.961715	74.229133
38.62798	75.091587
45.39551	75.580086
52.137207	75.046917
57.971122	73.009642
67.62676	67.920537
0.0	0.0
-21.00334	63.478752
-15.238214	65.348025
-9.472585	67.216911
-6.590009	68.151548
-1.364	69.829
1.35768	70.422607
5.446081	71.439975
9.534482	70.895986
14.20694	72.090282
17.793	73.453
19.492925	73.9475
25.425061	75.734265
31.961715	76.781073
38.62798	77.56728
45.39551	78.012592
52.137207	77.526559
57.971122	75.669393
67.62676	71.030199
0.0	0.0
-21.00334	65.84919
-15.238214	67.612934
-9.472585	69.376312
-6.590009	70.258184
-1.306	71.824
1.35768	72.382499
5.446081	73.310001
9.534482	72.727561
14.20694	73.819423
17.767	75.088
19.492925	75.560667
25.425061	77.248543
31.961715	78.237415
38.62798	78.98011
45.39551	79.400776
52.137207	78.941643
57.971122	77.187261
67.62676	72.804824
0.0	0.0
-21.00334	68.712727
-15.238214	70.348989
-9.472585	71.984913
-6.590009	72.803044
-1.237	74.234
1.35768	74.750088
5.446081	75.569029
9.534482	75.175262
14.20694	76.130232
17.699	77.273
19.492925	77.716488
25.425061	79.272211
31.961715	80.183659
38.62798	80.868204
45.39551	81.255934
52.137207	80.832749
57.971122	79.215728
67.62676	75.176416
0.0	0.0
-21.00334	70.382134
-15.238214	71.944076
-9.472585	73.505694
-6.590009	74.286665
-1.213	75.639
1.35768	76.130363
5.446081	76.886014
9.534482	76.451203
14.20694	77.334814
17.657	78.412
19.492925	78.840278
25.425061	80.327112
31.961715	81.1982
38.62798	81.852432
45.39551	82.222993
52.137207	81.818547
57.971122	80.27313
67.62676	76.412684
0.0	0.0
-21.00334	74.67744
-15.238214	76.048159
-9.472585	77.418594
-6.590009	78.103954
-1.173	79.254
1.35768	79.681747
5.446081	80.274557
9.534482	79.731234
14.20694	80.431404
17.546	81.34
19.492925	81.729178
25.425061	83.03892
31.961715	83.806255
38.62798	84.382564
45.39551	84.708989
52.137207	84.352715
57.971122	82.991367
67.62676	79.590726
0.0	0.0
-21.00334	81.412099
-15.238214	82.482998
-9.472585	83.553676
-6.590009	84.089126
-0.988	84.922
1.35768	85.250002
5.446081	85.587492
9.534482	84.856283
14.20694	85.269825
17.35	85.915
19.492925	86.243084
25.425061	87.27612
31.961715	87.881342
38.62798	88.335896
45.39551	88.593357
52.137207	88.312353
57.971122	87.238614
67.62676	84.556418
