X	Y	Z
57.971122	102.995	0.0
58.498805	102.995	0.0
59.022756	102.995	0.0
59.54406	102.995	0.0
60.063114	102.995	0.0
60.580157	102.995	0.0
61.095267	102.995	0.0
61.608393	102.995	0.0
62.119454	102.995	0.0
62.628556	102.995	0.0
63.1357	102.995	0.0
63.641018	102.995	0.0
64.144536	102.995	0.0
64.646386	102.995	0.0
65.146701	102.995	0.0
65.645402	102.995	0.0
66.142753	102.995	0.0
66.804017	102.995	0.0
67.298086	102.995	0.0
67.62676	102.995	0.0
