x_s	r_s
-17.544380722011184	25.757548805616917
-16.967865485072267	26.123050519818843
-16.391297313119317	26.488506180558637
-15.814755608673423	26.853961047273216
-15.238213904227528	27.219405856335154
-14.66164573227465	27.584842989820064
-14.085077560321771	27.95028779888199
-13.508509388368822	28.315690259932765
-12.931941216415952	28.6811297754933
-12.355373044463072	29.04657193780454
-11.778804872510193	29.4119796923567
-11.202236700557314	29.777427148169334
-10.62569499611142	30.142871957231264
-10.049126824158463	30.50832470654529
-9.472585119712576	30.87377745585931
-8.896069882773673	31.239267259683103
-8.319554645834685	31.604762357008287
-7.743039408895783	31.970273334837657
-7.166524171956873	32.33580548667261
-6.5900089350178845	32.70134028525826
-6.0135466330929495	33.066914785104366
-5.4370578636609395	33.432486638199784
-4.860622029242904	33.79811142630915
-4.284159727317963	34.16371504041293
-3.707750360406919	34.529355709026476
-3.131340993495876	34.8950334321498
-2.5549316265848248	35.260721742275905
-1.9785487271807511	35.62642328615549
-1.402192295283669	35.99219099880253
-0.8258623308935782	36.35797723870445
-0.24953236650348032	36.72382170712171
0.32669172785876555	37.08976939881617
0.902915822220919	37.45572767751342
1.4791134490761806	37.82174418472603
2.0553375434384122	38.187710403675375
2.631561637800573	38.55365809536984
3.2075210570930466	38.92007161518707
3.7844862416506047	39.28488649758299
4.36531568222653	39.64352121710014
4.951173949127799	39.99389278093956
5.538726136475432	40.34138732677075
6.125351961079005	40.690435515261406
6.710522072798915	41.04195047540217
7.293601251467783	41.39689297769624
7.8761775475041205	41.75266920646005
8.4608712440984	42.104972898308674
9.048211691390321	42.452843282738925
9.637298994142554	42.79773871938512
10.226545101936708	43.14232183944902
10.815076587042512	43.488143638839354
11.402152359264662	43.836466617638884
11.987878288631022	44.18703668778061
12.572386712676561	44.5396129949511
13.156021708991872	44.89364501500523
13.738809745083984	45.249055992172764
14.320883158487774	45.605650066902115
14.903141844440368	45.96196887955891
15.485056452802324	46.31881968910592
16.065488880773643	46.678065808034205
16.643168688019472	47.04174258763018
17.217566524400354	47.41059376483985
17.789	47.78399999999999
18.358210205013705	48.16078878255159
18.925911762129857	48.53987494470867
19.49292516406466	48.91994569812523
20.05869459317151	49.30188241078354
20.62303477690176	49.68591799674502
21.189121816092353	50.06739682153269
21.76021121410139	50.441374754843494
22.340167226947145	50.8015631170201
22.933621668350284	51.139275272273174
23.541897913659795	51.449482394277375
24.161369914419865	51.736440458154355
24.78984086755156	52.00313499869093
25.42506103496204	52.25317883058926
26.06533649620478	52.489930680484534
26.70997909609848	52.714586879692035
27.358300679461767	52.92832523227217
28.009718961141232	53.13240294480626
28.663678123490257	53.32815927314728
29.319860556425297	53.51627178547379
29.97802805238346	53.697386288956004
30.637889468788003	53.87231004255666
31.299180130569283	54.04158033666735
31.961714765178357	54.20601237050294
32.62525516505259	54.36629694599548
33.289668992656914	54.522923712024024
33.95485037796354	54.67625262668342
34.620693450944614	54.8265748325504
35.28717174409307	54.974229113714266
35.95412645236702	55.11961777628104
36.62150464075263	55.26303460957812
37.2894915817987	55.40365118063721
37.95824608054703	55.54053583321277
38.62797987705346	55.67269338904252
39.29877237383893	55.79925042039627
39.970782375945205	55.91923027626661
40.6440892858933	56.03168012640245
41.31877250620413	56.135639200300574
41.99483203687765	56.23012290670149
42.67237374794189	56.31357230944432
43.35134470438274	56.38431995558966
44.03166550367931	56.440870430993385
44.713150873282785	56.481463646441604
45.39550967061649	56.50342903048052
46.07823901304785	56.50380486907958
46.760597810381576	56.48075431725468
47.44181850491536	56.43540224405226
48.12153055155153	56.37189081431401
48.79957514524825	56.29245917913002
49.4755288058939	56.19692735945288
50.148835715842026	56.083889930662195
50.81809309722288	55.94888711783259
51.48168643211099	55.78805995844705
52.13720717737161	55.59672899727233
52.78211445233502	55.37219190184621
53.41418498641539	55.11359112494272
54.03124844404074	54.82105106384462
54.63293428011332	54.49821100076106
55.219189559619196	54.148167634008125
55.79117885286537	53.77536221125632
56.35027847021442	53.383587526255226
56.898447007182654	52.97671048177396
57.43814594191879	52.558664149349035
57.97112212988311	52.13215880169478
58.49880481645242	51.69908421880922
59.022755584538146	51.26154192074619
59.54405960192628	50.820844695851704
60.06311388122157	50.37749542675828
60.580156629986696	49.931806430048226
61.09526725074265	49.483886222500125
61.608392808475436	49.033695102853564
62.11945390066408	48.58118013609454
62.628556397336574	48.1264154312426
63.1357002984929	47.66950421157496
63.64101794166792	47.2105523471195
64.14453579436858	46.749660414402754
64.64638619412986	46.28694487045541
65.14670147848652	45.82253805281233
65.6454022449177	45.35642408096931
66.14275316849309	44.88886233649477
66.80401736276738	44.26348278817777
67.29808631547782	43.79243791978525
67.62675981709876	43.477681033331976
0.0	0.0
-21.00334	23.564279
-15.238214	27.219405
-9.472585	30.873778
-6.590009	32.70134
-1.27	36.068
1.35768	37.455728
5.446081	39.993893
9.534482	42.452843
14.20694	45.249056
17.789	47.884
19.492925	48.919946
25.425061	52.253179
31.961715	54.206012
38.62798	55.672693
45.39551	56.503429
52.137207	55.596729
57.971122	52.132159
67.62676	43.477681
0.0	0.0
-21.00334	32.681049
-15.238214	35.92797
-9.472585	39.174221
-6.590009	40.79768
-1.366	43.785
1.35768	45.014589
5.446081	47.205135
9.534482	48.10619
14.20694	50.585202
17.884	52.947
19.492925	53.887775
25.425061	56.914786
31.961715	58.688214
38.62798	60.020152
45.39551	60.774569
52.137207	59.951168
57.971122	56.804884
67.62676	48.945486
0.0	0.0
-21.00334	39.418504
-15.238214	42.363754
-9.472585	45.308395
-6.590009	46.781019
-1.429	49.488
1.35768	50.600722
5.446081	52.53437
9.534482	52.584874
14.20694	54.812594
17.981	56.958
19.492925	57.823378
25.425061	60.607796
31.961715	62.239096
38.62798	63.464288
45.39551	64.158244
52.137207	63.400832
57.971122	60.506701
67.62676	53.277179
0.0	0.0
-21.00334	42.755925
-15.238214	45.55174
-9.472585	48.346979
-6.590009	49.744886
-1.431	52.313
1.35768	53.367831
5.446081	55.174225
9.534482	54.914102
14.20694	57.011132
17.892	59.044
19.492925	59.870167
25.425061	62.528418
31.961715	64.085802
38.62798	65.255479
45.39551	65.917991
52.137207	65.194899
57.971122	62.431905
67.62676	55.529962
0.0	0.0
-21.00334	48.350978
-15.238214	50.896273
-9.472585	53.441044
-6.590009	54.713691
-1.422	57.049
1.35768	58.00678
5.446081	59.599836
9.534482	59.056689
14.20694	60.921285
17.85	62.754
19.492925	63.510428
25.425061	65.944291
31.961715	67.370213
38.62798	68.441155
